"","Name","Designation","Department","Qualification"
"273","BENGSON,JOHN T","Associate Professor","Philosophy","PHD 2010 University of Texas at Austin"
"274","BENGURIA DEPASSIER,SOLEDAD","Asst Faculty Assoc","Mathematics","PHD 2014 Univ of Wisconsin-Madison"
"275","BENNETT,ALLYSON J","Professor","Psychology","PHD 1996 University Of Memphis"
"276","BENSKY,ANNE MARYSE","Adjunct Instructor","Law School","JD 2008 Univ of Wisconsin-Madison"
"277","BENSON,MARK E","Assoc Professor (CHS)","Medicine","MD 2002 Dartmouth College"
"278","BENT,ANDREW","Professor","Plant Pathology","PHD 1989 Massachusetts Inst Of Tech"
"279","BENTLEY,ELLISON","Clinical Professor","Surgical Sciences","DVM 1993 University of Florida"
"280","BENTZ,MICHAEL L","Professor","Surgery","MD 1984 Temple University"
"281","BERG,BJORN","Assoc Lecturer","Consumer Science","MBA 2013 Drake University"
"282","BERGER,LAWRENCE M","Professor","Social Work","PHD 2002 Columbia University"
"283","BERKELMAN,JAMES","Faculty Associate","Forest &amp; Wildlife Ecology","PHD 1997 VA Polytechnic Inst &amp; State U"
"284","BERKEN,JORDAN PETER","Lecturer","Counseling Psychology","MA 2013 "
"285","BERLAND,LEEMA","Associate Professor","Curriculum And Instruction","PHD 2008 Northwestern University"
"286","BERLAND,MATTHEW","Associate Professor","Curriculum And Instruction","PHD 2008 Northwestern University"
"287","BERNARD,KRISTEN","Professor","Pathobiological Sciences","PHD 1995 Univ of Wisconsin-Madison"
"288","BERNARD-DONALS,MICHAEL","Professor","English","PHD 1991 SUNY At Stony Brook"
"289","BERNER,COURTNEY","Assoc Faculty Assoc","Cooperatives, Univ Center For","MS 2011 Univ of Wisconsin-Madison"
"290","BERNHARDT,DAVID T.","Professor (CHS)","Pediatrics","MD 1989 Univ of Wisconsin-Madison"
"291","BERNHARDT,RONDA S.","Asst Faculty Assoc","Curriculum And Instruction","EDM 2002 Univ of Wisconsin-La Crosse"
"292","BERRIDGE,CRAIG","Professor","Psychology","PHD 1988 University of Florida"
"293","BERRY,JOHN FERGUSON","Professor","Chemistry","PHD 2004 Texas A &amp; M University"
"294","BERRY,TODD","Adjunct Assoc Prof","Lafollette Sch Of Publ Affairs","PHD 2008 Univ of Wisconsin-Madison"
"295","BERSHADY,MATTHEW A.","Professor","Astronomy","PHD 1992 University of Chicago"
"296","BERSON,ARGANTHAEL","Lecturer","Mechanical Engineering","PHD 2007 Ecole Centrale de Lyon"
"297","BERSU,EDWARD THORWALD","Professor Emer","Biomedical Engineering","PHD 1976 Univ of Wisconsin-Madison"
"298","BERTELSON,RYAN JOHN","Lecturer","Theatre &amp; Drama"," "
"299","BERTRAM,LISA","Assistant Professor","Kinesiology","PHD 2007 Yale University"
"300","BERTRAM,TIMOTHY H.","Professor","Chemistry","PHD 2006 Univ of California Berkeley"
"301","BERVEN,NORMAN LEE","Professor Emer","Rehab Psychology &amp; Special Ed","PHD 1973 Univ of Wisconsin-Madison"
"302","BEST,KAREN","Senior Lecturer","English","MA 2011 Univ of Wisconsin-Madison"
"303","BETHKE,PAUL","Associate Professor","Horticulture","PHD 1995 Univ of California Berkeley"
"304","BETZ,NATALIE ANNE","Faculty Associate","Ms In Biotechnology Degree Prg","PHD 1992 Univ of Nebraska Medical Ctr"
"305","BHATTACHARYYA,ANITA","Assistant Professor","Cell And Regenerative Biology","PHD 1993 University of Cincinnati"
"306","BHAVNANI,RIKHIL","Associate Professor","Political Science","PHD 2010 Stanford University"
"307","BIER,VICKI","Professor","Industrial &amp; Systems Engr","PHD 1983 Massachusetts Inst Of Tech"
"308","BILBIJA,KSENIJA","Professor","Spanish And Portuguese","PHD 1990 University of Iowa"
"309","BILIR,LISA KAMRAN","Assistant Professor","Economics","PHD 2011 Stanford University"
"310","BINKLEY,JENNIFER L.","Clinical Asst Prof","Law School","JD 2001 Univ of Wisconsin-Madison"
"311","BINKLEY,NEIL C","Professor","Medicine","MD 1979 Univ of Wisconsin-Madison"
"312","BIRD BEAR,AARON","Lecturer","Acad&amp;Prg-Noncredit","EDM 2010 Univ of Wisconsin-Madison"
"313","BIRD,IAN M.","Professor","Obstetrics &amp; Gynecology","PHD 1987 University of London"
"314","BIRKELAND,LAURA ELIZABETH","Sr Clin Genetic Couns","Pediatrics","MS 2007 Univ of Wisconsin-Madison"
"315","BIRN,RASMUS","Associate Professor","Psychiatry","PHD 1999 Medical College Of Wisconsin"
"316","BIRSTLER,JEN","Assoc Researcher","Biostatistics&amp;Med Informatics","MS 2016 Univ of Wisconsin-Madison"
"317","BISHOP,MALACHY LIAM","Professor","Rehab Psychology &amp; Special Ed","PHD 2000 Univ of Wisconsin-Madison"
"318","BISHOP,SEAN","Univ Svc Prg Assoc","English","MFA 2011 University Of Houston"
"319","BITZAN,AMOS","Assistant Professor","History","PHD 2011 Univ of California Berkeley"
"320","BJORLING,DALE E.","Professor","Surgical Sciences","DVM 1978 Univ of IL at Urbana-Champaign"
"321","BLACK,DAVE","Asst Faculty Assoc","Journalism&amp;Mass Communication","MA 1991 San Francisco State University"
"322","BLACK,KEVIN","Professor","Physics","PHD 2005 Boston University"
"323","BLACKWELL,HELEN E.","Professor","Chemistry","PHD 1999 California Institute of Tech"
"324","BLAIR,SETH","Professor","Integrative Biology","PHD 1982 Univ of California Berkeley"
"325","BLAKE,JOCELYN MARIE","Asst Professor (CHS)","Anesthesiology","MD 2006 Univ of Wisconsin-Madison"
"326","BLAKESLEE,TERESE L","Faculty Associate","Nursing","MSN 2008 University of Phoenix"
"327","BLANCHARD,DEANNA S","Clinical Instructor","Nursing","MSN 2010 Edgewood College"
"328","BLANCHARD,JAKE","Professor","Engineering Physics","PHD 1988 Univ of California Los Angeles"
"329","BLANK,REBECCA M","Professor","Economics","PHD 1983 Massachusetts Inst Of Tech"
"330","BLASIUS,LESLIE","Professor","Mead Witter School Of Music","PHD 1994 Princeton University"
"331","BLAZEK,JENNIFER RUTH","Lecturer","Cals Academic Affairs","MS 2010 Univ of Wisconsin-Madison"
"332","BLEAM,WILLIAM","Professor","Soil Science","PHD 1984 Cornell University"
"333","BLEEDORN,JASON","Clinical Assoc Prof","Surgical Sciences","DVM 2005 Univ of IL at Urbana-Champaign"
"334","BLOCK,PAUL","Associate Professor","Civil &amp; Environmental Engr","PHD 2006 Univ of Colorado at Denver"
"335","BLOCK,STEPHEN BENJAMIN","Assoc Faculty Assoc","Chemistry","PHD 2011 Univ of Wisconsin-Madison"
"336","BLOCK,WALLY","Professor","Biomedical Engineering","PHD 1998 Stanford University"
"337","BLONIEN,NATALIE","Assoc Lecturer","Academic Affairs","DPT  Arcadia University"
"338","BLUE,JACOB MICHAEL","Assoc Lecturer","Planning &amp; Landscape Arch","MS 2000 Univ of Wisconsin-Madison"
"339","BLUM,BARAK","Assistant Professor","Cell And Regenerative Biology","PHD 2009 Hebrew University of Jerusalem"
"340","BLUM,HANNAH BETH","Assistant Professor","Civil &amp; Environmental Engr","PHD  "
"341","BLYTHE,VERDA","Faculty Associate","Marketing","MS 2002 Univ of Wisconsin-Madison"
"342","BOADO,JOEL MAGDALES","Assoc Lecturer","Civil &amp; Environmental Engr","BS 2000 Univ of Wisconsin-Madison"
"343","BOCHSLER,PHILIP N","Clinical Professor","Madison Pathology/Toxicology","PHD 1989 Cornell University"
"344","BOCK,ADAM J","Lecturer","Management &amp; Human Resources","MBA 1991 Edgewood College"
"345","BOCK-SHONKWILER,JULIE ANN","Assoc Lecturer","Social Work","MSW 1988 Univ of Wisconsin-Madison"
"346","BOEDER,STEVE","Faculty Associate","Erdman Ctr For Ops &amp; Tech Mgmt","MBA 1991 Edgewood College"
"347","BOEKHOFF-FALK,GRACE ELISABETH","Associate Professor","Cell And Regenerative Biology","PHD 1991 Univ of Wisconsin-Madison"
"348","BOELDT,DEREK STEVEN","Assistant Professor","Obstetrics &amp; Gynecology","PHD 2013 Univ of Wisconsin-Madison"
"349","BOGGESS,JACQUELYN LOUISE","Lecturer","Social Work","JD 1982 Univ of Wisconsin-Madison"
"350","BOLDYREV,STANISLAV","Professor","Physics","PHD 1999 Princeton University"
"351","BOLLING,BRADLEY WARREN","Assistant Professor","Food Science","PHD 2007 Univ of Wisconsin-Madison"
"352","BOLOTIN,SERGEY","Professor","Mathematics","PHD 1997 Moscow State Tec Univ"
"353","BOLT,DANIEL","Professor","Educational Psychology","PHD 1999 Univ of IL at Urbana-Champaign"
"354","BOLY,MELANIE","Assistant Professor","Neurology","PHD  Universite de l'Etat a Liege"
"355","BOMKAMP,TAMMY M.","Clinical Instructor","Nursing","MSN 2005 University of Phoenix"
"356","BONAMICI,CHLOE","Assistant Professor","Geoscience","PHD 2013 Univ of Wisconsin-Madison"
"357","BONAZZA,RICCARDO","Professor","Engineering Physics","PHD 1992 California Institute of Tech"
"358","BONK,NICOLE A.","Asst Professor (CHS)","Family Medicine","MD 2009 Loyola University of Chicago"
"359","BOORMAN,HEATHER","Assoc Lecturer","Social Work","MSW 2005 University of Denver"
"360","BOOSKE,JOHN H.","Professor","Electrical &amp; Computer Engr","PHD 1985 Univ of Michigan at Ann Arbor"
"361","BOOTH,ERIC","Lecturer","Academic Programs","PHD 2011 Univ of Wisconsin-Madison"
"362","BOOTHALINGAM,SRIRAM","Assistant Professor","Communication Sci &amp; Disorders","PHD 2014 Trinity Western University"
"363","BORDWELL,DAVID J.","Professor Emer","Communication Arts","PHD 1974 University of Iowa"
"364","BORMAN,GEOFFREY D","Professor","Ed Leadership&amp;Policy Analysis","PHD 1997 University of Chicago"
"365","BOROS,BALAZS","Visiting Asst Prof","Mathematics","PHD 2013 Eotvos Lorand University"
"366","BORTNOWKSI,HARRIET BARBARA","Clinical Instructor","Medical Sciences","DVM 1981 Univ of IL at Urbana-Champaign"
"367","BORZA,TUDOR","Assistant Professor","Urology","MD 2010 Univ of Michigan at Ann Arbor"
"368","BOSE,TULIKA","Professor","Physics","PHD 2007 Columbia University"
"369","BOSSCHER,GEORGIA","Clinical Instructor","Surgical Sciences","DVM 2015 "
"370","BOSTON,NIGEL","Professor","Mathematics","PHD 1987 Harvard University"
"371","BOSWELL,EDWARD","Asst Faculty Assoc","Soil Science"," "
"372","BOSWELL,LAIRD","Professor","History","PHD 1988 Univ of California Berkeley"
"373","BOTERO,BEATRIZ LUCIA","Lecturer","Integ Liberal St","PHD 2011 Univ of Wisconsin-Madison"
"374","BOTEZ,DAN","Professor","Electrical &amp; Computer Engr","PHD 1976 Univ of California Berkeley"
"375","BOTHAM,SARAH","Faculty Associate","Life Sciences Communication","BS 1983 Univ of Wisconsin-Whitewater"
"376","BOUCHER,JOSEPH WILLIAM","Senior Lecturer","Wisconsin School Of Business","JD 1977 Univ of Wisconsin-Madison"
"377","BOUGHTON,SARA","Assoc Lecturer","Social Work","MSSW 2005 Univ of Wisconsin-Madison"
"378","BOULARD,ANAIS CM","Lecturer","French And Italian","PHD 2016 Universite d'Angers"
"379","BOURG HACKER,DOMINIQUE CORINE","Lecturer","Wisconsin School Of Business","PHD 2018 Univ of Wisconsin-Madison"
"380","BOUSQUET,GILLES","Professor","French And Italian","PHD 1983 U de Provence Aix-Marseille I"
"381","BOUTILIER,JUSTIN JAMES","Assistant Professor","Industrial &amp; Systems Engr","PHD  University of Toronto"
"382","BOW,LESLIE","Professor","English","PHD 1993 Univ of California Santa Cruz"
"383","BOWE,SCOTT","Professor","Forest &amp; Wildlife Ecology","PHD 2000 Virginia State University"
"384","BOWEN,JEFF J.","Adjunct Instructor","Law School","JD 2002 Yale University"
"385","BOWER,GLENN ROBERT","Faculty Associate","Mechanical Engineering","PHD 1992 Univ of Wisconsin-Madison"
"386","BOWERS,BARBARA","Professor","Nursing","PHD 1984 U of California San Francisco"
"387","BOWIE,KATHERINE A.","Professor","Anthropology","PHD 1988 University of Chicago"
"388","BOWLING,JOSEPH","Lecturer","English","PHD 2018 City University Of New York"
"389","BOWMAN,MATT","Senior Lecturer","Chemistry","PHD 2011 Univ of Wisconsin-Madison"
"390","BOYDSTON,AJ","Associate Professor","Chemistry","PHD 2007 University of Texas at Austin"
"391","BOYETTE,PATRICIA","Professor","Theatre &amp; Drama","MA 1974 Univ of Colorado at Boulder"
"392","BRACE,CHRIS","Associate Professor","Radiology","PHD 2005 Univ of Wisconsin-Madison"
"393","BRACHMAN,LAURIE","Senior Lecturer","Marketing","MA 1990 Marquette University"
"394","BRADBURY,ELIZABETH","Assoc Lecturer","Botany","PHD 2014 Univ of Wisconsin-Madison"
"395","BRADBURY,KENNETH RHOADS","Professor","Natural Res Inst","PHD 1984 Univ of Wisconsin-Madison"
"396","BRADFIELD,CHRISTOPHER","Acad Program Director","Biotechnology Center","PHD 1986 Univ of California Berkeley"
"397","BRADLEY,KRISTIN ANN","Professor (CHS)","Human Oncology","MD 1999 Univ of Wisconsin-Madison"
"398","BRANCH,KRISTIN","Faculty Associate","A.C. Nielsen Ctr For Mkt Rsch","MBA 2002 Univ of Wisconsin-Madison"
"399","BRANCHAW,JANET LYNN","Assistant Professor","Kinesiology","PHD 1996 Univ of Wisconsin-Madison"
"400","BRANDT,CURTIS R.","Professor","Ophthalmology&amp;Visual Sciences","PHD 1984 Columbia University"
"401","BRANTLY,SUSAN","Professor","German, Nordic &amp; Slavic","PHD 1987 Yale University"
"402","BRAR,VICTOR W.","Assistant Professor","Physics","PHD 2010 Univ of California Berkeley"
"403","BRASIER,ALLAN R","Professor","Medicine","MD 1983 U of California San Francisco"
"404","BRATZKE,LISA","Associate Professor","Nursing","PHD 2009 Univ of Wisconsin-Madison"
"405","BRAUER,MARKUS","Professor","Psychology","PHD 1994 Univ of Colorado at Boulder"
"406","BRAUNGINN,JENNY","Assoc Faculty Assoc","Social Work","MSSW 1982 Univ of Wisconsin-Madison"
"407","BRAY,LORA N","Assoc Lecturer","Information School","MLIS 1993 Northern Illinois University"
"408","BREEDLOVE,TRISTAN S","Clinical Instructor","Law School","JD 2010 "
"409","BREKKE,LINDSAY RAE","Assoc Lecturer","Social Work","MSW 2012 Univ of Wisconsin-Madison"
"410","BRENNAN,MEGHAN BETH","Assistant Professor","Medicine","MD 2006 University of Vermont"
"411","BRENNER,RACHEL","Professor","Ctr For Jewish St","PHD 1986 York University"
"412","BRESLOW,ROBERT","Assoc Professor (CHS)","Pharmacy","BS 1975 Univ of Wisconsin-Madison"
"413","BRESNICK,EMERY H.","Professor","Cell And Regenerative Biology","PHD 1989 Univ of Michigan at Ann Arbor"
"414","BREUER,RYAN MARK","Clinical Asst Prof","Madison Administration"," "
"415","BRIDGER,ALISON","Assoc Lecturer","Information School","MS 1998 Simmons College"
"416","BRIGHOUSE,HARRY","Professor","Philosophy","PHD 1991 Univ of Southern California"
"417","BRITLAND,KAREN","Professor","English","PHD 2000 University of Leeds"
"418","BRITO,TONYA","Professor","Law School","JD 1989 Harvard University"
"419","BROCKLISS,WILLIAM","Associate Professor","Classic &amp; Ancient Near E Stds","PHD 2012 Yale University"
"420","BROM,JONELLE QUINN","Assoc Lecturer","Social Work","MSW 2006 Univ of Wisconsin-Madison"
"421","BROMAN,KARL","Professor","Biostatistics&amp;Med Informatics","PHD 1997 Univ of California Berkeley"
"422","BRONKHORST,CURT A.","Professor","Engineering Physics","PHD 1991 Massachusetts Inst Of Tech"
"423","BROOKE,STEVEN","Assistant Professor","Political Science","PHD 2015 University of Texas at Austin"
"424","BROOKS,ERIN GRACE","Assoc Professor (CHS)","Pathology&amp;Laboratory Medicine","MD 2005 Univ of Wisconsin-Madison"
"425","BROOKS,MARGARET ALISON","Associate Professor","Orthopedics And Rehabilitation","MD  Univ of Tennessee, Memphis"
"426","BROOKS,WESLEY","Assoc Lecturer","Statistics","PHD 2015 Univ of Wisconsin-Madison"
"427","BROOKSBY,RICHARD","Clinical Instructor","Surgical Sciences","DVM 2011 Kansas State University"
"428","BROSSARD,DOMINIQUE","Professor","Life Sciences Communication","PHD 2002 Cornell University"
"429","BROUNTS,SABRINA HELEN","Clinical Professor","Surgical Sciences","DVM 1999 Utrecht University"
"430","BROW,DAVID A.","Professor","Biomolecular Chemistry","PHD 1986 Univ of California San Diego"
"431","BROWER,AARON M","Professor","Social Work","PHD 1985 Univ of Michigan at Ann Arbor"
"432","BROWN,ASHLEY","Assistant Professor","History","PHD 2017 George Washington University"
"433","BROWN,BRADFORD","Professor","Educational Psychology","PHD 1979 University of Chicago"
"434","BROWN,DAVID P.","Professor","Finance","PHD 1984 Stanford University"
"435","BROWN,DUSTIN","Assoc Lecturer","Law School","JD 2007 New York University"
"436","BROWN,HEIDI WENDELL","Assistant Professor","Obstetrics &amp; Gynecology","MD 2006 Brown University"
"437","BROWN,JOSHUA","Clinical Asst Prof","Kinesiology","PHD 2013 Univ of Southern California"
"438","BROWN,MARIE ASHLEY","Lecturer","Curriculum And Instruction","EDM 2013 Edgewood College"
"439","BROWN,MATTHEW","Asst Professor (CHS)","Surgery","PHD  Univ of Wisconsin-Madison"
"440","BROWN,MATTHEW","Assistant Professor","African Cultural Studies","PHD 2014 Univ of Wisconsin-Madison"
"441","BROWN,MICHAEL K","Visiting Asst Prof","Mathematics","PHD 2015 Univ of Nebraska at Omaha"
"442","BROWN,RANDALL TODD","Associate Professor","Family Medicine","MD 1996 University of Washington"
"443","BRUCE,MICHAEL JOHN","Assoc Lecturer","Social Work","MSSW 1999 Univ of Wisconsin-Madison"
"444","BRUNET,JOHANNE","Professor","Entomology","PHD 1990 SUNY At Stony Brook"
"445","BRUNOLD,THOMAS C","Professor","Chemistry","PHD 1997 Universitat Berne"
"446","BRYAN,GINA MARIE","Clinical Professor","Nursing","DNP 2012 Univ of Wisconsin-Madison"
"447","BRYAN,TOM","Assoc Marketing Spec","Horticulture","MS 2015 Univ of Wisconsin-Madison"
"448","BUA,ENTELA","Senior Scientist","Surgery","PHD 2004 Univ of Wisconsin-Madison"
"449","BUCCINI,STEFANIA","Professor","French And Italian","PHD 1988 Brown University"
"450","BUCHBERGER JONES,AMANDA RAE","Asst Faculty Assoc","Chemistry","DS 2018 Univ of Wisconsin-Madison"
"451","BUCK,DOUGLAS SCOTT","Adjunct Instructor","Law School","JD 1993 Univ of Wisconsin-Madison"
"452","BUCKINGHAM,TANYA","Instructl Prg Mgr Iii","Geography","MA 2016 Alfred Adler Institute"
"453","BUDGE,STEPHANIE LYNNE","Associate Professor","Counseling Psychology","PHD 2011 Univ of Wisconsin-Madison"
"454","BUGNI,TIM S","Professor","Pharmacy","PHD 2003 University of Utah"
"455","BUHL,TIM","Lecturer","Marketing","MBA 2003 Univ of Wisconsin-Madison"
"456","BUHNEMANN,GUDRUN","Professor","Asian Languages &amp; Cultures","PHD 1980 Universitat Wien"
"457","BUHR,KEVIN ANDREW","Lecturer","Biostatistics&amp;Med Informatics","PHD 2002 Univ of Wisconsin-Madison"
"458","BUHR-LAWLER,MELANIE","Clinical Professor","Communication Sci &amp; Disorders","AUD 2011 University of Florida"
"459","BUISCH,DERRICK","Professor","Art","MFA 1996 Univ of Minnesota-Twin Cities"
"460","BULLER,ANDREW R","Assistant Professor","Chemistry","PHD 2013 Johns Hopkins University"
"461","BULLOCK,ERIKA C","Assistant Professor","Curriculum And Instruction","PHD 2013 Georgia State University"
"462","BULLTAIL,GRACE","Assistant Professor","Academic Programs"," "
"463","BUNN,HENRY T.","Professor","Anthropology","PHD 1982 Univ of California Berkeley"
"464","BURCHELL, DAMON","Assistant Professor","African Cultural Studies","PHD 2015 Northwestern University"
"465","BURDEN,BARRY","Professor","Political Science","PHD 1998 Ohio State University"
"466","BURGER,CORINNA","Associate Professor","Neurology","PHD 1994 Univ of Colorado at Denver"
"467","BURGESS,RICHARD","Professor Emer","Oncology","PHD 1969 Harvard University"
